feature,importance
flagged_by_semgrep,0.24406968495242587
num_tools_agreeing,0.17544776614828625
tfidf_use,0.0964540084214055
tfidf_detected,0.08069818209643705
flagged_by_sonar,0.06299218060112849
cwe_historical_precision,0.039513105887254124
tfidf_instead,0.033575633132000716
cwe_CWE-330,0.032238702856874066
tfidf_java,0.027737535634075786
tfidf_going,0.02032330160220581
tfidf_user,0.019214907665404856
tfidf_sanitized,0.01904469509672685
tfidf_using,0.016709656974291713
tfidf_input,0.013573271658426003
tfidf_random,0.012586010040741922
tfidf_variables,0.010159225023882956
tfidf_lead,0.010153844462378983
tfidf_injection,0.008354734898514116
tfidf_consider,0.00762708327555226
cwe_CWE-328,0.007381701322738329
cwe_CWE-327,0.007377806670088082
tfidf_potential,0.006764169665182298
tfidf_sql,0.0059489937783876075
cwe_CWE-79,0.00590840633043246
cwe_CWE-89,0.005569686392425036
cwe_CWE-614,0.004502343655636683
tfidf_view,0.004478605032463112
cwe_CWE-501,0.004204380603344341
tfidf_properly,0.004033104291287918
tfidf_httpservletrequest,0.0030855585203251323
tfidf_statement,0.0027049602072049717
tfidf_html,0.0021922464911964265
cwe_CWE-78,0.0014319922426013043
tfidf_command,0.0014126450781213609
tfidf_sanitize,0.0008952547086646917
tfidf_file,0.0004952053314052917
tfidf_commands,0.0004840169157365581
cwe_CWE-90,0.00043374917864001444
cwe_CWE-643,0.00022164315610498096
